param,value,conductor_segments,topology_nodes,topology_edges,endpoints,boundaries_resolved,boundaries_conflicted,wires,wires_resolved,wires_unresolved,wires_conflicted,electrical_nets,shared_segments,validation_errors,validation_warnings,valid_wires,conflicted_endpoint_ids
morphology.vertical_kernel_length,20,315,719,907,213,37,5,45,45,0,0,7,2,0,34,45,endpoint-candidate-632f7ab1d35aecd7;endpoint-candidate-707de789b5231f30;endpoint-candidate-a7220f8df673b6f8;endpoint-candidate-b19abde1f4cfc96c;endpoint-candidate-f042c2183594abf5
morphology.vertical_kernel_length,30,271,650,839,186,26,5,33,33,0,0,9,3,0,25,33,endpoint-candidate-632f7ab1d35aecd7;endpoint-candidate-707de789b5231f30;endpoint-candidate-76b0de795dcbebf5;endpoint-candidate-907bc3c111236123;endpoint-candidate-b19abde1f4cfc96c
morphology.vertical_kernel_length,35,255,631,815,188,26,4,31,31,0,0,8,1,0,25,31,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-907bc3c111236123;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
conductor_evidence.minimum_continuous_length,9.6,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
conductor_evidence.minimum_continuous_length,10.8,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
conductor_evidence.minimum_continuous_length,13.2,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
conductor_evidence.minimum_continuous_length,14.4,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
morphology.minimum_segment_length,8,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
morphology.minimum_segment_length,10,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
morphology.minimum_segment_length,14,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminals.boundary_tolerance,7.2,294,692,877,210,35,4,40,40,0,0,9,0,0,31,40,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminals.boundary_tolerance,7.6,294,692,877,210,35,4,40,40,0,0,9,0,0,31,40,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminals.boundary_tolerance,8.4,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminals.boundary_tolerance,8.8,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
terminal_recognition.aligned_boundary_max_distance,14.4,294,692,877,210,36,4,41,41,0,0,10,1,0,30,41,endpoint-candidate-1fd584e37a5c72b5;endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
